,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,delivery_rate_comb_std,utilization_rate_comb_std,num_risks_comb_std,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,num_risks_std,num_delivered_std,utilization_rate_std,delivery_rate_std,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,sequential_execution_time,execution_time
0,59,5.9,5,0,9,13,11,12,12,13,12,14,12,14,12,14,12,14,0.11073508893593266,0.9354800461866165,8.497115117564972,0,0,0,0,0,0,7.3199999999999985,11.2,0.9509761904761902,0.11200000000000002,1.1771151175649728,0.12649110640673528,0.015496144289573638,0.0012649110640673528,5,11.0,0.9328075396825394,0.11,6.6,0.0,502805748326.0,100.0,256.4909782409668,11.2,0.9435912698412697,0.112,8.0,1.0,156299688289.0,100.0,247.09393095970154,11.4,0.970079365079365,0.114,5.8,2.0,469100661221.0,100.0,170.6921317577362,11.2,0.9688690476190474,0.112,9.2,3.0,733295057794.0,100.0,207.30467081069946,11.2,0.9395337301587301,0.112,7.0,4.0,717263017026.0,100.0,253.7316551208496,1135.3133668899536,256.86202001571655
1,56,5.6,5,0,12,14,10,11,10,12,10,14,11,13,11,14,11,14,0.17006761924206185,0.9533445864794006,12.827814388593307,9,13,9,10,0,0,12.440000000000001,17.240000000000002,0.9588796296296296,0.17239999999999997,0.387814388593306,0.23323807579381228,0.005535043150229038,0.002332380757938111,5,17.0,0.9595216049382714,0.17,11.8,5.0,502805748326.0,100.0,337.8509683609009,17.2,0.9621553497942386,0.172,12.4,6.0,156299688289.0,100.0,306.4511570930481,17.0,0.9518467078189299,0.17,12.6,7.0,469100661221.0,100.0,358.61142134666443,17.6,0.9538143004115225,0.176,12.4,8.0,733295057794.0,100.0,328.040714263916,17.4,0.9670601851851851,0.174,13.0,9.0,717263017026.0,100.0,291.6397078037262,1622.5939688682556,358.75779581069946
2,135,13.5,5,0,9,13,9,10,12,14,12,13,10,12,10,11,12,13,0.14374670016771568,0.9470150946844267,12.531370849898476,9,12,0,0,0,0,11.4,14.64,0.9605630787037036,0.1464,1.131370849898476,0.2653299832284324,0.013547984019276895,0.002653299832284322,5,14.2,0.9434519675925925,0.142,13.4,10.0,502805748326.0,100.0,285.3585720062256,14.6,0.9538223379629629,0.146,10.0,11.0,156299688289.0,100.0,241.13999581336975,15.0,0.9804484953703703,0.15,10.8,12.0,469100661221.0,100.0,158.22193598747253,14.6,0.9531597222222221,0.146,11.6,13.0,733295057794.0,100.0,222.4961769580841,14.8,0.9719328703703702,0.148,11.2,14.0,717263017026.0,100.0,205.63068294525146,1112.8473637104034,285.3634583950043
3,180,18.0,5,0,12,13,11,12,9,12,11,13,11,13,9,12,10,14,0.1996,0.942712588045625,15.305780679931456,10,14,0,0,0,0,13.4,20.04,0.9475497685185184,0.2004,1.905780679931455,0.07999999999999972,0.004837180472893368,0.0008000000000000007,5,20.0,0.9547048611111111,0.2,16.2,15.0,502805748326.0,100.0,250.30845737457275,20.0,0.9411024305555554,0.2,10.4,16.0,156299688289.0,100.0,288.2472927570343,20.0,0.945028935185185,0.2,14.4,17.0,469100661221.0,100.0,255.45689606666565,20.2,0.9456076388888888,0.202,13.0,18.0,733295057794.0,100.0,250.23117995262146,20.0,0.9513049768518518,0.2,13.0,19.0,717263017026.0,100.0,254.59364938735962,1298.8374755382538,288.3952305316925
4,191,19.1,5,0,11,14,10,11,12,14,12,14,12,14,10,13,12,13,0.15,0.9348188198417825,12.142826420446914,9,10,0,0,0,0,11.08,15.0,0.938142361111111,0.15,1.0628264204469138,0.0,0.0033235412693285726,0.0,5,15.0,0.9411516203703703,0.15,9.4,20.0,502805748326.0,100.0,265.71537017822266,15.0,0.9363425925925924,0.15,12.0,21.0,156299688289.0,100.0,274.422931432724,15.0,0.9409027777777776,0.15,12.4,22.0,469100661221.0,100.0,284.89874958992004,15.0,0.9324537037037035,0.15,11.0,23.0,733295057794.0,100.0,309.14986848831177,15.0,0.9398611111111109,0.15,10.6,24.0,717263017026.0,100.0,296.0839195251465,1430.270839214325,309.4051434993744
5,154,15.4,5,0,10,11,9,11,9,11,9,11,11,14,10,12,0,0,0.1188,0.9639984059167837,9.179473319220206,0,0,0,0,0,0,8.8,11.959999999999999,0.9724012345679011,0.1196,0.3794733192202055,0.07999999999999971,0.00840282865111736,0.0008000000000000007,5,12.0,0.9664969135802467,0.12,8.4,25.0,502805748326.0,100.0,169.7597930431366,12.0,0.980509259259259,0.12,8.8,26.0,156299688289.0,100.0,134.6459255218506,12.0,0.984182098765432,0.12,9.4,27.0,469100661221.0,100.0,118.08047556877136,11.8,0.9682253086419753,0.118,8.4,28.0,733295057794.0,100.0,178.99342846870422,12.0,0.9625925925925926,0.12,9.0,29.0,717263017026.0,100.0,185.85667443275452,787.3362970352173,186.11315298080444
6,84,8.4,5,0,12,14,9,12,10,11,9,13,12,14,10,12,12,14,0.19210333704529042,0.957287162211782,14.381806246227281,10,14,12,14,0,0,12.720000000000002,19.359999999999996,0.9637145061728394,0.1936,1.661806246227279,0.14966629547095825,0.006427343961057389,0.001496662954709578,5,19.2,0.9603626543209874,0.192,14.4,30.0,502805748326.0,100.0,290.13867139816284,19.4,0.969832818930041,0.194,15.0,31.0,156299688289.0,100.0,282.4268431663513,19.2,0.9615303497942386,0.192,11.8,32.0,469100661221.0,100.0,296.354380607605,19.4,0.9546784979423868,0.194,11.6,33.0,733295057794.0,100.0,289.87659740448,19.6,0.9721682098765432,0.196,10.8,34.0,717263017026.0,100.0,236.97902917861938,1395.7755217552185,296.4912405014038
7,116,11.6,5,0,12,14,9,10,9,11,12,13,9,11,9,13,9,11,0.1967603921945629,0.9541855987941664,13.885437744847145,9,11,11,13,10,13,13.0,19.880000000000003,0.9610407407407406,0.1988,0.8854377448471461,0.20396078054371067,0.006855141946574194,0.002039607805437116,5,19.8,0.9593912037037036,0.198,12.4,35.0,502805748326.0,100.0,322.5689136981964,19.6,0.949861111111111,0.196,14.4,36.0,156299688289.0,100.0,363.3010485172272,20.2,0.9693078703703701,0.202,13.0,37.0,469100661221.0,100.0,247.54655265808105,20.0,0.967097222222222,0.2,13.4,38.0,733295057794.0,100.0,265.24146008491516,19.8,0.9595462962962962,0.198,11.8,39.0,717263017026.0,100.0,302.17851519584656,1500.8364901542664,363.56056547164917
8,20,2.0,5,0,9,13,11,12,9,13,10,12,10,14,9,10,11,14,0.1060870680067499,0.9157306743282935,7.8276186062932105,9,11,0,0,0,0,6.8,10.879999999999999,0.9419172453703704,0.10880000000000001,1.0276186062932102,0.2712931993250104,0.02618657104207691,0.00271293199325011,5,10.8,0.9198234953703703,0.108,6.8,40.0,502805748326.0,100.0,461.06565380096436,11.2,0.972991898148148,0.112,5.0,41.0,156299688289.0,100.0,269.71652722358704,11.0,0.905222800925926,0.11,7.0,42.0,469100661221.0,100.0,498.4150609970093,11.0,0.9668287037037037,0.11,8.2,43.0,733295057794.0,100.0,315.52205896377563,10.4,0.9447193287037036,0.104,7.0,44.0,717263017026.0,100.0,404.48405408859253,1949.2033550739288,498.6798937320709
9,190,19.0,5,0,10,11,10,14,11,13,11,13,10,12,12,14,9,13,0.17,0.9487599510805481,13.027438361420389,0,0,0,0,0,0,11.76,17.0,0.9521865079365078,0.17,1.2674383614203888,0.0,0.003426556855959733,0.0,5,17.0,0.9535615079365077,0.17,14.0,45.0,502805748326.0,100.0,257.96001148223877,17.0,0.9509623015873016,0.17,10.6,46.0,156299688289.0,100.0,243.19723558425903,17.0,0.9473214285714285,0.17,10.6,47.0,469100661221.0,100.0,268.2074501514435,17.0,0.9513392857142856,0.17,11.4,48.0,733295057794.0,100.0,253.26580142974854,17.0,0.9577480158730156,0.17,12.2,49.0,717263017026.0,100.0,231.13594222068787,1253.7664408683777,268.46342039108276
