,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,delivery_rate_comb_std,utilization_rate_comb_std,num_risks_comb_std,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,num_risks_std,num_delivered_std,utilization_rate_std,delivery_rate_std,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,sequential_execution_time,execution_time
0,51,5.1,5,0,10,14,10,11,9,13,12,13,10,11,10,13,12,14,0.22765152338066982,0.9323494605303011,10.242976367350371,0,0,0,0,0,0,8.36,12.080000000000002,0.955058201058201,0.24159999999999998,0.9414881836751855,0.34871191548325353,0.011354370263950002,0.006974238309665084,5,11.8,0.9463690476190474,0.236,8.0,0.0,440522424025.0,50.0,174.22973561286926,11.8,0.9571626984126983,0.236,7.8,1.0,238603274742.0,50.0,155.6719183921814,12.4,0.9459623015873014,0.248,8.2,2.0,558972734419.0,50.0,160.41299533843994,12.6,0.9495006613756611,0.252,7.6,3.0,246004124312.0,50.0,147.75616693496704,11.8,0.9762962962962962,0.236,10.2,4.0,975157925650.0,50.0,148.69429230690002,786.7651085853577,174.738139629364
1,197,19.7,5,0,11,12,9,12,11,14,9,10,10,11,10,13,9,10,0.3976,0.9401727783717237,16.152773891679267,10,14,10,13,0,0,15.16,20.04,0.9445509259259259,0.4008,0.4963869458396343,0.07999999999999971,0.0021890737771011193,0.0016000000000000014,5,20.0,0.9418904320987654,0.4,15.4,5.0,440522424025.0,50.0,183.14263796806335,20.0,0.9448739711934154,0.4,15.0,6.0,238603274742.0,50.0,178.11703205108643,20.2,0.9484876543209876,0.404,14.6,7.0,558972734419.0,50.0,170.9018361568451,20.0,0.9437731481481482,0.4,16.0,8.0,246004124312.0,50.0,176.64411735534668,20.0,0.9437294238683127,0.4,14.8,9.0,975157925650.0,50.0,177.74259567260742,886.548219203949,183.30481696128845
2,78,7.8,5,0,9,11,10,11,10,14,10,11,9,10,12,14,11,13,0.2498704769682475,0.9284782025613735,13.566520721078504,11,13,0,0,0,0,9.760000000000002,12.959999999999999,0.9563715277777776,0.2592,1.903260360539251,0.23323807579381176,0.013946662608202055,0.004664761515876244,5,13.2,0.9752951388888887,0.264,10.0,10.0,440522424025.0,50.0,141.74820590019226,12.8,0.9538888888888888,0.256,8.0,11.0,238603274742.0,50.0,166.3401300907135,12.6,0.9326909722222221,0.252,11.6,12.0,558972734419.0,50.0,187.5468065738678,13.2,0.9567274305555555,0.264,7.2,13.0,246004124312.0,50.0,166.98718571662903,13.0,0.9632552083333331,0.26,12.0,14.0,975157925650.0,50.0,160.61882424354553,823.2411525249481,187.82366967201233
3,97,9.7,5,0,12,14,10,12,9,12,10,11,9,13,10,13,11,14,0.3748133481811617,0.9384987346833226,17.10317773150614,12,13,12,14,0,0,13.64,19.04,0.960841563786008,0.38079999999999997,1.7315888657530691,0.14966629547095714,0.011171414551342726,0.0029933259094191557,5,19.2,0.9741666666666665,0.384,15.4,15.0,440522424025.0,50.0,149.22576212882996,19.0,0.9710493827160493,0.38,12.6,16.0,238603274742.0,50.0,158.16039967536926,19.2,0.94866512345679,0.384,13.6,17.0,558972734419.0,50.0,168.94821429252625,19.0,0.9632098765432097,0.38,11.0,18.0,246004124312.0,50.0,169.68162989616394,18.8,0.947116769547325,0.376,15.6,19.0,975157925650.0,50.0,190.80133700370789,836.8173429965973,190.81048727035522
4,171,17.1,5,0,10,11,12,14,9,12,9,11,9,13,12,13,10,14,0.3976,0.9430669408657126,16.31862027939031,10,11,11,13,0,0,14.0,20.04,0.9546836419753084,0.4008,1.159310139695155,0.07999999999999971,0.005808350554797882,0.0016000000000000014,5,20.2,0.9605246913580248,0.404,15.6,20.0,440522424025.0,50.0,144.89636301994324,20.0,0.9570961934156377,0.4,12.0,21.0,238603274742.0,50.0,145.71223878860474,20.0,0.9570138888888887,0.4,14.0,22.0,558972734419.0,50.0,147.07679271697998,20.0,0.9551929012345677,0.4,14.4,23.0,246004124312.0,50.0,151.54295539855957,20.0,0.9435905349794237,0.4,14.0,24.0,975157925650.0,50.0,168.50621557235718,757.7345654964447,168.77696418762207
5,199,19.9,5,0,11,13,12,14,9,10,9,10,11,13,12,14,11,13,0.24,0.9189737916963859,12.436754978012214,0,0,0,0,0,0,9.48,12.0,0.9418690476190476,0.24,1.4783774890061063,0.0,0.011447627961330798,0.0,5,12.0,0.9432936507936507,0.24,8.4,25.0,440522424025.0,50.0,140.32977938652039,12.0,0.9519642857142855,0.24,8.6,26.0,238603274742.0,50.0,126.78576493263245,12.0,0.9369047619047618,0.24,9.0,27.0,558972734419.0,50.0,142.18611478805542,12.0,0.9226984126984126,0.24,9.0,28.0,246004124312.0,50.0,159.00171661376953,12.0,0.9544841269841269,0.24,12.4,29.0,975157925650.0,50.0,126.99239587783813,695.2957715988159,159.01042485237122
6,96,9.6,5,0,9,10,11,14,12,13,10,12,11,13,10,12,12,14,0.248,0.9396448327736446,10.825904606350496,9,10,0,0,0,0,8.96,12.720000000000002,0.9575162037037035,0.2544,0.9329523031752479,0.16000000000000023,0.008935685465029422,0.0032000000000000028,5,13.0,0.96484375,0.26,9.0,30.0,440522424025.0,50.0,145.35813093185425,12.6,0.9487499999999999,0.252,8.4,31.0,238603274742.0,50.0,169.56249928474426,12.8,0.9701620370370369,0.256,7.8,32.0,558972734419.0,50.0,149.1103527545929,12.6,0.9471180555555555,0.252,9.0,33.0,246004124312.0,50.0,183.11405086517334,12.6,0.9567071759259257,0.252,10.6,34.0,975157925650.0,50.0,165.2950098514557,812.4400436878204,183.35639214515686
7,178,17.8,5,0,9,11,10,12,9,13,9,11,9,11,10,13,12,14,0.34,0.9387744209044759,16.460887457458472,0,0,0,0,0,0,13.080000000000002,17.0,0.9588101851851851,0.34,1.690443728729235,0.0,0.010017882140354605,0.0,5,17.0,0.9598015873015872,0.34,11.4,35.0,440522424025.0,50.0,133.66796779632568,17.0,0.9722949735449735,0.34,13.2,36.0,238603274742.0,50.0,116.96885657310486,17.0,0.9565575396825395,0.34,13.4,37.0,558972734419.0,50.0,140.56674575805664,17.0,0.941762566137566,0.34,11.4,38.0,246004124312.0,50.0,164.21623873710632,17.0,0.9636342592592592,0.34,16.0,39.0,975157925650.0,50.0,133.19934749603271,688.6191563606262,164.22590160369873
8,172,17.2,5,0,12,14,12,13,11,13,11,12,10,13,0,0,0,0,0.18,0.9404570893254062,9.35733036376766,0,0,0,0,0,0,8.16,9.0,0.9637018518518516,0.18,0.5986651818838306,0.0,0.011622381263222716,0.0,5,9.0,0.9528055555555554,0.18,8.6,40.0,440522424025.0,50.0,93.92724251747131,9.0,0.9804537037037037,0.18,7.6,41.0,238603274742.0,50.0,70.49578666687012,9.0,0.9513611111111111,0.18,7.4,42.0,558972734419.0,50.0,91.02541255950928,9.0,0.9597777777777775,0.18,9.0,43.0,246004124312.0,50.0,90.44061183929443,9.0,0.9741111111111111,0.18,8.2,44.0,975157925650.0,50.0,79.73436999320984,425.623423576355,93.93301820755005
9,147,14.7,5,0,10,12,11,12,9,13,12,14,10,12,11,13,10,13,0.34587047696824746,0.9501507916903731,13.819876538505326,11,13,0,0,0,0,12.2,17.76,0.9709641203703704,0.35519999999999996,0.8099382692526633,0.23323807579381228,0.010406664339998655,0.004664761515876244,5,17.6,0.9656741898148147,0.352,11.4,45.0,440522424025.0,50.0,126.2262921333313,17.8,0.9848842592592592,0.356,13.6,46.0,238603274742.0,50.0,101.71118187904358,18.0,0.9777662037037037,0.36,12.2,47.0,558972734419.0,50.0,101.59373140335083,18.0,0.9720341435185185,0.36,12.4,48.0,246004124312.0,50.0,110.55748343467712,17.4,0.9544618055555555,0.348,11.4,49.0,975157925650.0,50.0,148.1890709400177,588.2777597904205,148.2011833190918
