,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,delivery_rate_comb_std,utilization_rate_comb_std,num_risks_comb_std,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,num_risks_std,num_delivered_std,utilization_rate_std,delivery_rate_std,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,sequential_execution_time,execution_time
0,42,4.2,5,0,11,12,11,14,12,13,12,13,9,11,9,11,0.06070483996910221,0.9118947981296754,12.322307265747177,0,0,0,0,0,0,0,0,6.08,7.0,0.9514753086419752,0.07,2.080769088582392,0.3098386676965933,0.013193503504099924,0.003098386676965931,5,7.2,0.9608873456790122,0.072,7.6,0,351760113850,100,180.35412883758545,7.2,0.9692052469135802,0.072,5.8,1,800139113292,100,177.28593492507935,7.0,0.9345833333333332,0.07,3.8,2,174096585781,100,255.42035174369812,6.4,0.9383024691358024,0.064,9.2,3,865262255400,100,225.7472414970398,7.2,0.9543981481481482,0.072,4.0,4,512313529334,100,214.6041374206543,1053.411794424057,255.98044610023499
1,85,8.5,5,0,10,13,10,13,10,11,11,12,9,11,11,13,0.14463343685400049,0.9134061993049913,16.126161845081317,10,11,10,13,10,11,0,0,10.8,15.0,0.9496409465020574,0.15,1.7753872816937717,0.17888543819998254,0.012078249065688699,0.0017888543819998333,5,15.2,0.9358744855967078,0.152,9.6,5,351760113850,100,312.5996630191803,14.8,0.9344855967078188,0.148,13.4,6,800139113292,100,322.81123542785645,15.2,0.9630812757201644,0.152,8.8,7,174096585781,100,251.4395146369934,15.0,0.9551748971193413,0.15,9.8,8,865262255400,100,273.53126430511475,14.8,0.9595884773662551,0.148,12.4,9,512313529334,100,266.4339761734009,1426.8156535625458,323.00002217292786
2,153,15.3,5,0,11,14,10,14,9,13,12,14,11,12,11,12,0.14391001113587126,0.9532857739173509,20.818280097767317,0,0,0,0,0,0,0,0,11.399999999999999,14.84,0.9728958333333331,0.1484,3.139426699255773,0.1496662954709577,0.006536686471994039,0.0014966629547095778,5,14.6,0.9676581790123456,0.146,11.2,10,351760113850,100,160.50199007987976,14.8,0.9637731481481481,0.148,8.0,11,800139113292,100,169.53945136070251,15.0,0.9800077160493826,0.15,11.2,12,174096585781,100,137.69039964675903,14.8,0.9801350308641973,0.148,17.2,13,865262255400,100,134.56957411766052,15.0,0.9729050925925925,0.15,9.4,14,512313529334,100,132.2329409122467,734.5343561172485,169.67879271507263
3,81,8.1,5,0,9,11,12,14,12,14,12,14,12,14,10,11,0.12791001113587128,0.9515764432910399,15.275812254145803,12,14,12,14,0,0,0,0,10.120000000000001,13.239999999999998,0.9629895833333333,0.13240000000000002,1.7186040847152673,0.1496662954709579,0.0038043800140977945,0.0014966629547095778,5,13.4,0.9621354166666666,0.134,11.8,15,351760113850,100,235.15451216697693,13.2,0.9584895833333332,0.132,10.8,16,800139113292,100,259.10088753700256,13.2,0.9700520833333333,0.132,8.6,17,174096585781,100,202.17276406288147,13.4,0.9619791666666666,0.134,11.8,18,865262255400,100,236.7399251461029,13.0,0.9622916666666665,0.13,7.6,19,512313529334,100,242.16002345085144,1175.3281123638153,259.2750952243805
4,139,13.9,5,0,12,14,12,14,9,13,9,11,11,13,12,14,0.18551471862576144,0.941579556756919,17.41348280640733,11,14,11,14,0,0,0,0,14.440000000000001,19.400000000000002,0.9658865740740741,0.194,0.9911609354691093,0.2828427124746195,0.008102339105718377,0.0028284271247461927,5,19.8,0.9713686342592591,0.198,14.6,20,351760113850,100,202.758802652359,19.6,0.9750983796296295,0.196,16.2,21,800139113292,100,196.10009360313416,19.0,0.9546903935185185,0.19,14.2,22,174096585781,100,287.05339097976685,19.4,0.9705353009259259,0.194,13.2,23,865262255400,100,214.16734504699707,19.2,0.9577401620370369,0.192,14.0,24,512313529334,100,257.60244250297546,1157.6820747852325,287.19084119796753
5,165,16.5,5,0,10,12,12,14,9,13,10,14,10,13,12,14,0.1662606123086602,0.9482353642984824,19.778537153737375,0,0,0,0,0,0,0,0,13.080000000000002,16.919999999999998,0.9711211419753086,0.16920000000000002,2.232845717912458,0.09797958971132678,0.007628592558942068,0.000979795897113272,5,16.8,0.9648804012345678,0.168,15.6,25,351760113850,100,174.84371876716614,17.0,0.9752932098765431,0.17,11.2,26,800139113292,100,150.13712310791016,16.8,0.9593981481481481,0.168,10.4,27,174096585781,100,200.1859211921692,17.0,0.9790393518518519,0.17,15.8,28,865262255400,100,135.23885202407837,17.0,0.9769945987654319,0.17,12.4,29,512313529334,100,159.5084273815155,819.9140424728394,200.3612039089203
6,193,19.3,5,0,9,12,9,12,9,10,9,12,11,14,11,14,0.22786061230866023,0.9340509553520625,25.182996137473204,12,14,10,13,12,14,0,0,18.839999999999996,23.080000000000002,0.9530473251028807,0.23080000000000003,2.1143320458244017,0.09797958971132678,0.006332123250272718,0.000979795897113272,5,23.2,0.941795267489712,0.232,16.2,30,351760113850,100,350.678795337677,23.0,0.9522788065843621,0.23,17.4,31,800139113292,100,335.4828727245331,23.2,0.9563991769547324,0.232,18.6,32,174096585781,100,298.1325640678406,23.0,0.953883744855967,0.23,22.4,33,865262255400,100,327.8263177871704,23.0,0.9608796296296297,0.23,19.6,34,512313529334,100,275.4196674823761,1587.5402173995972,350.68436908721924
7,85,8.5,5,0,11,13,11,14,10,13,12,14,9,12,10,12,0.16866120402024964,0.9420045056591673,22.309574122956295,9,11,11,14,0,0,0,0,12.8,17.68,0.9639131944444443,0.17679999999999998,3.1698580409854316,0.2712931993250105,0.007302896261759025,0.00271293199325011,5,17.6,0.9536284722222221,0.176,8.6,35,351760113850,100,311.0369153022766,18.2,0.9763194444444444,0.182,17.2,36,800139113292,100,204.8770260810852,17.6,0.9649768518518518,0.176,13.8,37,174096585781,100,261.7312228679657,17.6,0.9629398148148148,0.176,14.6,38,865262255400,100,274.2946026325226,17.4,0.9617013888888888,0.174,9.8,39,512313529334,100,276.8059051036835,1328.7456719875336,311.0436053276062
8,147,14.7,5,0,12,13,10,14,10,13,12,14,10,11,9,10,0.11263343685400051,0.9241647916986386,11.021931988953506,0,0,0,0,0,0,0,0,8.64,11.8,0.9666674382716046,0.118,0.7939773296511684,0.17888543819998334,0.014167548857655317,0.0017888543819998273,5,11.6,0.9683680555555553,0.116,8.6,40,351760113850,100,191.1457326412201,11.8,0.9413695987654318,0.118,10.0,41,800139113292,100,220.0665807723999,12.0,0.9845486111111109,0.12,8.2,42,174096585781,100,131.75527000427246,11.6,0.9730362654320985,0.116,8.8,43,865262255400,100,180.1008665561676,12.0,0.9660146604938271,0.12,7.6,44,512313529334,100,176.48674321174622,899.5551931858063,220.2810778617859
9,184,18.4,5,0,10,14,12,13,9,13,11,14,10,12,0,0,0.1372,0.939886882335115,13.51281802339908,0,0,0,0,0,0,0,0,11.399999999999999,13.959999999999999,0.956360185185185,0.1396,0.7042726744663604,0.07999999999999971,0.005491100950023318,0.0008000000000000007,5,14.0,0.9567083333333333,0.14,11.2,45,351760113850,100,187.50163650512695,14.0,0.9581574074074073,0.14,12.2,46,800139113292,100,183.42336344718933,14.0,0.9459768518518518,0.14,10.2,47,174096585781,100,196.76173162460327,13.8,0.9587962962962961,0.138,12.0,48,865262255400,100,181.08610725402832,14.0,0.962162037037037,0.14,11.4,49,512313529334,100,177.00904297828674,925.7818818092346,196.93655848503113
