,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,delivery_rate_comb_std,utilization_rate_comb_std,num_risks_comb_std,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,num_risks_std,num_delivered_std,utilization_rate_std,delivery_rate_std,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,sequential_execution_time,execution_time
0,37,3.7,5,0,10,13,9,11,10,12,9,13,11,14,9,13,12,14,11,13,11,14,0.31841143090474266,0.9569192038531367,16.305996005324463,0,0,11.8,17.32,0.9742484567901233,0.34640000000000004,1.5019986684414872,0.4664761515876239,0.005776417645662202,0.009329523031752465,5,17.8,0.9752083333333332,0.356,10.2,0,176125337656,50,161.82533955574036,16.6,0.9727211934156378,0.332,13.8,1,172463627866,50,169.38641905784607,17.8,0.9709953703703703,0.356,13.0,2,345200359899,50,166.2944028377533,17.0,0.9846939300411521,0.34,10.0,3,210514558348,50,141.39241218566895,17.4,0.9676234567901234,0.348,12.0,4,307126938023,50,184.44344329833984,823.3420169353485,184.8315396308899
1,114,11.4,5,0,12,13,12,13,12,13,12,13,11,14,11,13,10,11,11,14,9,13,0.3148848984692816,0.9075067997210261,15.341100333644242,12,13,11.16,16.92,0.946775462962963,0.33840000000000003,1.3937001112147476,0.39191835884530846,0.013089554413978964,0.007838367176906154,5,17.2,0.9581319444444443,0.344,11.2,5,176125337656,50,136.83425521850586,16.8,0.9538009259259258,0.336,12.6,6,172463627866,50,150.7434163093567,17.2,0.9433958333333333,0.344,8.6,7,345200359899,50,154.0743215084076,16.2,0.9226249999999998,0.324,11.2,8,210514558348,50,183.73665642738342,17.2,0.955923611111111,0.344,12.2,9,307126938023,50,136.64012360572815,762.0287730693817,183.9147810935974
2,41,4.1,5,0,10,14,10,13,10,14,11,13,11,12,0,0,0,0,0,0,0,0,0.17756367385196112,0.9140733722881662,8.066091847207014,0,0,6.519999999999999,9.760000000000002,0.9618037037037036,0.19519999999999998,0.5153639490690052,0.29393876913398115,0.01591011047184579,0.005878775382679624,5,10.0,0.9684583333333332,0.2,5.8,10,176125337656,50,107.15903759002686,9.6,0.9596249999999997,0.192,6.4,11,172463627866,50,125.4473249912262,10.2,0.9847592592592591,0.204,6.6,12,345200359899,50,99.67637848854065,9.4,0.9355694444444443,0.188,6.4,13,210514558348,50,138.39273381233215,9.6,0.9606064814814814,0.192,7.4,14,307126938023,50,120.55280447006226,591.2282793521881,138.50863885879517
3,36,3.6,5,0,11,12,9,12,12,13,10,13,9,10,9,11,12,13,12,14,11,13,0.2204022472619408,0.9124330796565676,13.965996254680189,9,12,9.16,12.8,0.9516287037037037,0.256,1.6019987515600629,0.5932958789676528,0.013065208015712038,0.011865917579353073,5,12.6,0.9286203703703704,0.252,8.8,15,176125337656,50,214.06923985481262,13.0,0.967611111111111,0.26,9.6,16,172463627866,50,171.58218050003052,13.6,0.9521111111111111,0.272,7.4,17,345200359899,50,202.62793254852295,11.8,0.9500509259259257,0.236,12.0,18,210514558348,50,207.19015455245972,13.0,0.9597499999999999,0.26,8.0,19,307126938023,50,195.99302530288696,991.4625327587128,214.075012922287
4,23,2.3,5,0,9,11,12,14,11,14,10,11,11,13,11,13,10,12,0,0,0,0,0.12346006681522763,0.8560574561135069,8.741360672865289,0,0,5.359999999999999,7.519999999999999,0.9246230158730159,0.1504,1.1271202242884297,0.4489988864128728,0.022855186586502988,0.008979977728257458,5,7.6,0.8908068783068782,0.152,4.6,20,176125337656,50,240.90301823616028,7.6,0.9104034391534392,0.152,6.6,21,172463627866,50,221.93184971809387,8.2,0.9382341269841269,0.164,5.6,22,345200359899,50,185.7961025238037,7.4,0.9574603174603175,0.148,3.6,23,210514558348,50,158.3783357143402,6.8,0.9262103174603175,0.136,6.4,24,307126938023,50,204.28950357437134,1011.2988097667694,240.90822219848633
5,188,18.8,5,0,10,12,12,14,10,13,12,14,12,13,11,14,12,14,9,10,0,0,0.3144,0.9256669710658736,17.976745924798653,0,0,13.0,15.959999999999999,0.950440972222222,0.31920000000000004,1.6589153082662176,0.07999999999999971,0.00825800038544946,0.0016000000000000014,5,16.0,0.9463310185185183,0.32,10.4,25,176125337656,50,142.99125719070435,16.0,0.9612557870370368,0.32,14.4,26,172463627866,50,129.82448482513428,16.0,0.9383217592592592,0.32,14.8,27,345200359899,50,145.71703386306763,15.8,0.9579224537037037,0.316,13.6,28,210514558348,50,129.4610345363617,16.0,0.9483738425925925,0.32,11.8,29,307126938023,50,137.97434973716736,685.9681601524353,145.72274827957153
6,19,1.9,5,0,10,14,11,12,10,14,10,14,10,12,11,14,9,11,0,0,0,0,0.1728904876616312,0.9155239358073266,10.263682228244903,0,0,6.839999999999999,9.879999999999999,0.9433154761904762,0.1976,1.1412274094149684,0.41182520563948016,0.009263846794383185,0.008236504112789596,5,10.2,0.9509193121693121,0.204,6.8,30,176125337656,50,195.46036052703857,9.8,0.9448412698412698,0.196,5.8,31,172463627866,50,212.47449660301208,10.4,0.9253935185185184,0.208,7.8,32,345200359899,50,246.78711104393005,9.2,0.9498445767195766,0.184,8.4,33,210514558348,50,194.53829503059387,9.8,0.9455787037037036,0.196,5.4,34,307126938023,50,215.14998126029968,1064.4102444648743,246.90835642814636
7,85,8.5,5,0,12,14,11,14,11,14,11,14,12,14,9,11,9,11,11,12,0,0,0.29902943725152287,0.9399284748819431,14.37551839190013,0,0,11.12,15.8,0.9652222222222223,0.316,1.0851727973000431,0.28284271247461873,0.0084312491134264,0.005656854249492385,5,16.2,0.9800347222222221,0.324,9.0,35,176125337656,50,124.71680545806885,15.6,0.9614641203703703,0.312,11.4,36,172463627866,50,146.85749793052673,15.8,0.9549016203703704,0.316,11.4,37,345200359899,50,165.7826042175293,15.4,0.9676041666666666,0.308,11.8,38,210514558348,50,139.23272800445557,16.0,0.9621064814814815,0.32,12.0,39,307126938023,50,139.64119744300842,716.2308330535889,165.79185390472412
8,50,5.0,5,0,11,14,9,12,11,14,9,11,10,12,12,14,11,14,0,0,0,0,0.2332206958091454,0.956088099623021,13.492632705961745,0,0,9.559999999999999,13.4,0.9679708994708994,0.268,1.3108775686539151,0.5796550698475773,0.003960933282626137,0.011593101396951546,5,14.0,0.9722883597883597,0.28,8.4,40,176125337656,50,136.8438539505005,12.8,0.9622883597883598,0.256,11.0,41,172463627866,50,164.18784356117249,14.2,0.9681216931216932,0.284,9.6,42,345200359899,50,141.29815292358398,13.0,0.9722354497354496,0.26,11.0,43,210514558348,50,135.53572583198547,13.0,0.9649206349206348,0.26,7.8,44,307126938023,50,151.32455468177795,729.1901309490204,164.37545561790466
9,88,8.8,5,0,9,13,9,13,12,14,12,14,12,14,9,13,11,14,9,13,0,0,0.4135750121951249,0.9412452456178807,22.68684530323832,0,0,16.84,21.96,0.9665520833333332,0.43920000000000003,1.9489484344127737,0.42708313008125215,0.008435612571817512,0.008541662601625057,5,22.2,0.9571006944444445,0.444,13.4,45,176125337656,50,162.4607057571411,21.8,0.9754890046296296,0.436,16.4,46,172463627866,50,134.06791520118713,22.4,0.974386574074074,0.448,18.6,47,345200359899,50,124.87104368209839,21.2,0.955876736111111,0.424,18.8,48,210514558348,50,153.8993034362793,22.2,0.9699074074074073,0.444,17.0,49,307126938023,50,131.02771639823914,706.3266844749451,162.4676923751831
10,18,1.8,5,0,12,14,9,11,10,11,10,14,12,14,9,12,10,11,12,13,0,0,0.1260747310584159,0.8749854992948781,9.498648401781384,0,0,5.8,7.640000000000001,0.9225462962962963,0.1528,1.232882800593795,0.44542114902640184,0.015853599000472698,0.008908422980528031,5,7.6,0.9459751157407406,0.152,5.4,50,176125337656,50,183.24420142173767,7.8,0.9147106481481481,0.156,4.2,51,172463627866,50,231.82518410682678,8.0,0.9003645833333332,0.16,6.8,52,345200359899,50,245.04391479492188,6.8,0.9339843749999999,0.136,7.6,53,210514558348,50,201.41911244392395,8.0,0.9176967592592591,0.16,5.0,54,307126938023,50,235.61633849143982,1097.14875125885,245.22778344154358
11,93,9.3,5,0,9,10,12,14,9,13,10,11,10,11,0,0,0,0,0,0,0,0,0.14680571545237125,0.877676177483693,8.437140771636011,0,0,6.4799999999999995,8.04,0.9347194444444444,0.1608,0.6523802572120038,0.23323807579381212,0.019014422320250482,0.004664761515876244,5,8.2,0.9372916666666665,0.164,7.0,55,176125337656,50,113.25998330116272,8.0,0.9428611111111109,0.16,7.4,56,172463627866,50,118.20688438415527,8.4,0.9627083333333332,0.168,6.0,57,345200359899,50,102.92867183685303,7.8,0.9053055555555554,0.156,5.6,58,210514558348,50,135.26774263381958,7.8,0.9254305555555554,0.156,6.4,59,307126938023,50,142.73230457305908,612.3955867290497,142.7444884777069
12,114,11.4,5,1,12,13,11,12,11,12,12,13,11,13,11,13,10,11,9,13,9,13,0.3161433156108104,0.9053024145927406,15.658321675037804,9,10,12.68,16.92,0.947684722222222,0.33840000000000003,0.9927738916792685,0.37094473981982823,0.014127435876493795,0.007418894796396553,5,17.0,0.9537777777777775,0.34,12.6,60,176125337656,50,159.1656997203827,17.0,0.9595972222222221,0.34,11.8,61,172463627866,50,143.12347435951233,17.2,0.9450277777777775,0.344,13.8,62,345200359899,50,158.90503573417664,16.2,0.9213819444444443,0.324,13.8,63,210514558348,50,197.0930941104889,17.2,0.9586388888888887,0.344,11.4,64,307126938023,50,141.2976713180542,799.5849752426147,197.22773385047913
13,19,1.9,5,1,10,14,11,12,9,12,10,14,9,11,10,14,11,13,0,0,0,0,0.16040224726194083,0.93736908699037,10.486816695978813,0,0,7.08,9.8,0.9459682539682539,0.196,1.1356055653262713,0.5932958789676536,0.002866388992627972,0.01186591757935306,5,10.0,0.9485615079365077,0.2,7.6,65,176125337656,50,201.9036087989807,9.8,0.9422156084656084,0.196,7.0,66,172463627866,50,224.68313074111938,10.8,0.9432969576719576,0.216,7.4,67,345200359899,50,200.3298237323761,9.2,0.9495866402116402,0.184,5.0,68,210514558348,50,191.8966827392578,9.2,0.9461805555555556,0.184,8.4,69,307126938023,50,210.21447801589966,1029.0277240276337,224.69216990470886
14,35,3.5,5,1,10,14,11,12,10,14,10,14,10,12,10,12,12,13,9,10,0,0,0.22947728507100476,0.9382267271406034,11.019454500368205,0,0,7.720000000000001,12.52,0.9646093749999999,0.2504,1.0998181667894016,0.34871191548325436,0.008794215953132175,0.006974238309665084,5,12.8,0.9672135416666665,0.256,9.2,70,176125337656,50,160.32922911643982,12.2,0.9683159722222221,0.244,7.4,71,172463627866,50,177.31203436851501,12.8,0.9472135416666665,0.256,6.4,72,345200359899,50,183.0171570777893,12.0,0.9691232638888887,0.24,6.8,73,210514558348,50,167.70132756233215,12.8,0.9711805555555555,0.256,8.8,74,307126938023,50,153.6983745098114,842.0581226348877,183.18177795410156
15,19,1.9,5,1,10,11,9,12,12,13,10,13,9,10,9,11,12,14,9,12,0,0,0.12312947272177664,0.8965628313226167,7.596873090319502,0,0,5.04,8.2,0.939005787037037,0.164,0.8522910301065006,0.6811754546370558,0.014147651904806753,0.013623509092741121,5,8.2,0.9255844907407407,0.164,4.0,75,176125337656,50,220.8037450313568,7.8,0.923148148148148,0.156,6.0,76,172463627866,50,217.6268126964569,9.2,0.9617881944444444,0.184,5.0,77,345200359899,50,161.24962854385376,7.2,0.9460648148148147,0.144,4.2,78,210514558348,50,205.90467643737793,8.6,0.9384432870370369,0.172,6.0,79,307126938023,50,212.81941509246826,1018.4042778015137,220.81168460845947
